Population	hypop	Long	Lat	pi	het	In	N	propsup1	propinf1	propsup0	prop0and1	sd	sd0and1	category	category2
BOR	1e-05	90.049	61.758	0.0898079613651507	0.0732049044289344	0.204954	10	0.991942601180614	0.991942601180614	0.301982815323004	0.293925416503618	0.175469918059674	0.224321768496791	sps	P.obovata
BRI	0.90091875	34.42	53.26	0.0942388272740662	0.0873225322308415	0.0516108333333333	12	0.997208738874504	0.997208738874504	0.369516347923102	0.366725086797605	0.154334330361528	0.202729867330734	sps	P.abies
BY_1	0.975873916666667	27.5615	53.9045	0.0826664574770891	0.0649096727815733	0.288555	12	0.998432647555929	0.998432647555929	0.319606684040064	0.318039331595994	0.139713198875893	0.198145544820708	sps	P.abies
BY_2	0.9558646	30.16667	55.18333	0.0890297735180839	0.0786976347250924	0.141934	5	0.993364250210229	0.993364250210229	0.231185526239103	0.224549776449333	0.157794889799824	0.203940676557395	sps	P.abies
BY_3	0.953189666666667	25.83	53.92	0.0944507117036612	0.0881916998593671	0.0406716666666667	6	0.994030322962026	0.994030322962026	0.272080311722048	0.266110634684073	0.160013414366952	0.205535911781106	sps	P.abies
BY_4	0.956727285714286	28.4628571428571	55.5228571428571	0.0898700809072394	0.0797321714827383	0.129217142857143	7	0.995934874736693	0.995934874736693	0.275708326741988	0.271643201478681	0.151347357561073	0.203622827783195	sps	P.abies
CZE	0.99999	12.80528	50.10833	0.0816275069292171	0.0691659391573886	0.243861666666667	6	0.99381801227239	0.99381801227239	0.229407944582747	0.223225956855137	0.1546779014537	0.208426223907378	sps	P.abies
DE_1	0.99999	8.186	48.2775	0.0841374460286139	0.075245552160285	0.179578	5	0.992406770629522	0.992406770629522	0.217670493809686	0.210077264439208	0.160634257754867	0.208813531456229	sps	P.abies
DE_2	0.99999	12.23	47	0.0789454117817577	0.0672206466247163	0.265753333333333	6	0.992075815730973	0.992075815730973	0.216465318424405	0.208541134155378	0.160219701421629	0.212541930231375	sps	P.abies
EKA	0.2881923125	60.35	56.5	0.090674293970526	0.0733641903505456	0.202800625	16	0.997525123431607	0.997525123431607	0.370858900813441	0.368384024245048	0.156341707953603	0.208993566303746	hyb	hyb
ENI	1e-05	92.2	58.453	0.0929414987823214	0.0889758684209963	0.0342842857142857	14	0.991830201403748	0.991830201403748	0.335344734278602	0.32717493568235	0.176603684995786	0.219666296539591	sps	P.obovata
FI_1	0.835012	24.29	62.4	0.0891950818660961	0.0786861688543913	0.141098333333333	6	0.995339572214775	0.995339572214775	0.246168000199822	0.241507572414597	0.151968426102563	0.203516822545004	sps	P.abies
FIPA17	0.574067909090909	26.686	66.436	0.08490812560875	0.0655320952034245	0.282704545454545	11	0.998097529702682	0.998097529702682	0.293467491486758	0.291565021189439	0.142428901719703	0.202467303239891	hyb	hyb
GERH	0.99999	12.262	47.463	0.0839119719596392	0.0726297637265589	0.209503333333333	9	0.994821284354784	0.994821284354784	0.27965897075108	0.274480255105864	0.157914581565039	0.214005223855014	sps	P.abies
GERL	0.99999	12.262	47	0.0860535353081582	0.0786928644913208	0.14478875	8	0.9929708509912	0.9929708509912	0.274203418618399	0.267174269609598	0.162972155518211	0.21283634916833	sps	P.abies
Indigo	0.021319625	49.88	67.27	0.0828921946727253	0.0669612137523018	0.267180625	16	0.996707102833307	0.996707102833307	0.323540676230361	0.320247779063668	0.156647668052897	0.216176523682808	sps	P.obovata
ITAH	0.99999	13.595	42.27	0.0833170913319362	0.0773986062939461	0.159352	10	0.992352652218439	0.992352652218439	0.269759464477508	0.262112116695946	0.167661672909264	0.220307592708875	sps	P.abies
ITAL	0.99999	13.595	41.807	0.080035282887115	0.0699629742574242	0.2382625	8	0.993220628273123	0.993220628273123	0.236056183236614	0.229276811509737	0.163193377699957	0.221904477212428	sps	P.abies
KAZM	1e-05	65.608	64.696	0.0936661696934784	0.0864058827748726	0.0618083333333333	12	0.993974123073593	0.993974123073593	0.339330763402633	0.333304886476225	0.168651555917858	0.215173903905978	sps	P.obovata
KM	0.00998218181818182	69.253	61.05	0.0919007375373193	0.0803293866455076	0.126135454545455	11	0.994981558110685	0.994981558110685	0.325076806514192	0.320058364624876	0.163204088423984	0.213217098453255	sps	P.obovata
KRA	1e-05	92.762	55.985	0.0909470294433553	0.0854112039342034	0.0731708333333333	12	0.990789462729067	0.990789462729067	0.307296826995929	0.298086289724995	0.177840777016875	0.221545447407503	sps	P.obovata
LT	0.979180333333333	25.2797	54.6872	0.076853620607003	0.057735664787144	0.36543	6	0.996063926332354	0.996063926332354	0.211371943350512	0.207435869682866	0.143028788123588	0.205192016096438	sps	P.abies
OKT	0.0116894	66.087	62.452	0.092732889411913	0.0823666996182626	0.104429333333333	15	0.996086822583197	0.996086822583197	0.368781586418777	0.364868409001973	0.16257934080272	0.211504799887333	sps	P.obovata
PAH	0.0431719411764706	58.5	54.2	0.0885024393857568	0.0760231876572711	0.174311764705882	17	0.995566453245856	0.995566453245856	0.34267569750306	0.338242150748916	0.1662293942112	0.220516050918932	sps	P.obovata
PAL	0.198165545454545	58.52	55.34	0.0921685301143264	0.0831350164961652	0.0970636363636364	11	0.995909897008501	0.995909897008501	0.332033103815764	0.327943000824265	0.161883116341722	0.21399023891172	sps	P.obovata
PL_1	0.9946415	23.1688	53.1325	0.0788173093157399	0.0598179016709469	0.343498333333333	6	0.996028541217414	0.996028541217414	0.21726668720391	0.213295228421324	0.144054923563386	0.204773434880318	sps	P.abies
PL_2	0.99999	22.58	50.34	0.0842769446582088	0.0735842592266621	0.19681	5	0.992931302921562	0.992931302921562	0.215707660669237	0.208638963590798	0.156159451998248	0.203014722423307	sps	P.abies
PL_3	0.996320833333333	23.46	52.42	0.0899993801823004	0.0859602885582685	0.0651566666666667	6	0.992721073709276	0.992721073709276	0.249972940794458	0.242694014503734	0.163063359859645	0.208356380693153	sps	P.abies
PL_4	0.990682166666667	23.03	54.03	0.0910281721381408	0.0848640104964885	0.0778933333333333	6	0.993447509304204	0.993447509304204	0.264699393041205	0.258146902345409	0.160677528547153	0.207016846819696	sps	P.abies
R1	0.624824285714286	33.15	68.97	0.0839087118319584	0.0680084427361622	0.254555714285714	14	0.997618789912328	0.997618789912328	0.281746692532492	0.27936548244482	0.14518258599515	0.205896238895714	hyb	hyb
R2	0.675476142857143	34.23	63.4	0.0873171377905359	0.0728681914883841	0.204189285714286	14	0.998087122315935	0.998087122315935	0.331027750256022	0.329114872571957	0.145833979851163	0.202038543278071	hyb	hyb
R20	0.51468	43.14	64.45	0.0875528049787165	0.0738430175468885	0.194745	10	0.996767465676438	0.996767465676438	0.295157651094441	0.291925116770879	0.151971691712221	0.209575252329017	hyb	hyb
R22	0.6250333	46.54	61.15	0.0842751602444591	0.071670506426456	0.217854	10	0.995947363600789	0.995947363600789	0.255663699867618	0.251611063468407	0.15144451677227	0.20932824934027	hyb	hyb
R24	0.831915071428571	37.57	59.7	0.0879816120868623	0.0764255049868574	0.166777857142857	14	0.997664582414014	0.997664582414014	0.332973931577677	0.330638513991691	0.149551918965122	0.205142870126655	sps	P.abies
R27	0.737949928571429	42.2	58.24	0.0882171615348442	0.0771850665442867	0.158432142857143	14	0.997325301606068	0.997325301606068	0.320135379286803	0.317460680892871	0.14960474180746	0.204617469287063	hyb	hyb
R29	0.844754928571429	36.58	56.1	0.0867900650270439	0.0728142798102999	0.2035	14	0.998751113590382	0.998751113590382	0.346232942293122	0.344984055883504	0.140556589231299	0.195259365246639	sps	P.abies
R35	0.564576	53.1	56.5	0.0881596222950639	0.0745468846466372	0.186277142857143	14	0.998184951751355	0.998184951751355	0.342563297726194	0.340748249477549	0.146816775358104	0.202138310861993	hyb	hyb
R38	0.3388535	57.06	60.39	0.0853207131540778	0.0708907305643683	0.224985	14	0.99771245639305	0.99771245639305	0.308302180555671	0.306014636948721	0.149919770115351	0.210416746289824	hyb	hyb
R5	0.891597384615385	30.52	59.3	0.0866560892218463	0.076169030039873	0.167582307692308	13	0.996809095223426	0.996809095223426	0.281095190122141	0.277904285345567	0.150598389408351	0.207775873574319	sps	P.abies
R8	0.928594214285714	25.38	58.24	0.0879147578429492	0.0770297126925536	0.160737857142857	14	0.997306568309924	0.997306568309924	0.334408069471388	0.331714637781312	0.150503937787344	0.204712246640962	sps	P.abies
RO_1	0.99999	25.57	47.58	0.0831362932686128	0.0698080953958357	0.23691	6	0.994261366947805	0.994261366947805	0.231847436036201	0.226108802984006	0.15345913482376	0.207035586671378	sps	P.abies
RO_2	0.9940685	23.04556	46.3625	0.0848509926832797	0.0745198624296739	0.185855	6	0.993932493526605	0.993932493526605	0.238218838202603	0.232151331729208	0.155490148151576	0.20732951696231	sps	P.abies
SEPA15	0.7890514	18.29	64.75	0.0739884746947199	0.0534934752721241	0.411162	5	0.996873621021256	0.996873621021256	0.17230261350296	0.169176234524216	0.136323094902538	0.200455890262335	hyb	hyb
SHA	0.316522944444444	58.42	57.14	0.0929890773171817	0.0859095187465037	0.0668711111111111	18	0.99764584911787	0.99764584911787	0.41121666514025	0.40886251425812	0.157616460999563	0.205127254838266	hyb	hyb
SK	0.99999	19.14917	48.7325	0.0873133803875767	0.0791835423226504	0.138008333333333	6	0.992629488705904	0.992629488705904	0.250607791386014	0.243237280091918	0.161070866222702	0.207719572180283	sps	P.abies
SWE_1	0.8227404	12.923	61.6	0.0954699272117282	0.0916818469534045	0.004796	5	0.994119826488048	0.994119826488048	0.239496865295112	0.23361669178316	0.16060625086117	0.20548087528305	sps	P.abies
SWE_2	0.829115333333333	12.923	62.063	0.0928194497973515	0.0812488848206328	0.116906666666667	9	0.997291997968478	0.997291997968478	0.306124955248237	0.303416953216715	0.151201964618577	0.205515246460406	sps	P.abies
TOB	0.0573847142857143	68.375	58.174	0.0910663427914712	0.0753372649129137	0.181678571428571	7	0.993368413164928	0.993368413164928	0.2761600073268	0.269528420491728	0.166488424708391	0.216331502222374	sps	P.obovata
TUG	0.129996882352941	64.37	57.03	0.0904647347952088	0.0774671346393281	0.157582352941176	17	0.99709009466559	0.99709009466559	0.378391767340788	0.375481862006378	0.159076284901052	0.21037558770261	sps	P.obovata
TYR	1e-05	87.976	65.79	0.0970240963074436	0.107733934005594	-0.17215	7	0.989952708834622	0.989952708834622	0.276611687911612	0.266564396746235	0.176256275366593	0.208297296199299	sps	P.obovata
VYA	0.597761421052632	49.4	58.36	0.09332213037527	0.0843198388309176	0.08361	19	0.998443054942676	0.998443054942676	0.430982374049806	0.429425428992482	0.151418211594481	0.196929787199617	hyb	hyb
