Long Lat Source Species stat
114.148611 61.784444 gbif PO pt_nonhy
84.702171 56.016346 gbif PO pt_nonhy
131.9591 62.7548 gbif PO pt_nonhy
79.5094 56.3831 gbif PO pt_nonhy
66.509379 65.611637 gbif PO pt_nonhy
99.745954 52.765656 gbif PO pt_nonhy
84.3574 51.5125 gbif PO pt_nonhy
128.755074 61.237017 gbif PO pt_nonhy
106.728936 58.336686 gbif PO pt_nonhy
86.406332 50.641378 gbif PO pt_nonhy
64.321181 66.402484 gbif PO pt_nonhy
98.173463 55.856197 gbif PO pt_nonhy
84.96053 51.982914 gbif PO pt_nonhy
72.140694 61.226128 gbif PO pt_nonhy
108.8568 52.8685 gbif PO pt_nonhy
112.967672 52.025902 gbif PO pt_nonhy
61.959158 57.324416 gbif PO pt_nonhy
95.9665 56.5661 gbif PO pt_nonhy
67.1497 57.6122 gbif PO pt_nonhy
68.1492 58.6424 gbif PO pt_nonhy
126.2421 66.0119 gbif PO pt_nonhy
89.3242 51.5303 gbif PO pt_nonhy
76.5594 60.9525 gbif PO pt_nonhy
93.4085 52.8263 gbif PO pt_nonhy
72.528648 65.536964 gbif PO pt_nonhy
81.190045 53.894864 gbif PO pt_nonhy
89.5268 61.08562 gbif PO pt_nonhy
101.575145 54.50807 gbif PO pt_nonhy
142.3873 49.7298 gbif PO pt_nonhy
108.2648 57.7261 gbif PO pt_nonhy
134.6537 56.2335 gbif PO pt_nonhy
142.81855 46.976233 gbif PO pt_nonhy
133.5926 62.6328 gbif PO pt_nonhy
84.1251 62.8764 gbif PO pt_nonhy
83.598721 53.252837 gbif PO pt_nonhy
99.0263 54.9012 gbif PO pt_nonhy
72.662169 65.295608 gbif PO pt_nonhy
108.058231 60.001408 gbif PO pt_nonhy
88.728065 50.073047 gbif PO pt_nonhy
89.889365 53.336824 gbif PO pt_nonhy
91.884796 53.515146 gbif PO pt_nonhy
83.072752 56.861503 gbif PO pt_nonhy
65.464975 55.412049 gbif PO pt_nonhy
85.193191 53.86811 gbif PO pt_nonhy
142.0601 46.8047 gbif PO pt_nonhy
65.054275 57.091239 gbif PO pt_nonhy
58.4534 58.8617 gbif PO pt_nonhy
95.749745 56.270078 gbif PO pt_nonhy
130.7538 61.8333 gbif PO pt_nonhy
86.745237 53.25322 gbif PO pt_nonhy
137.2305 57.5526 gbif PO pt_nonhy
90.389395 68.899518 gbif PO pt_nonhy
62.0458 65.1468 gbif PO pt_nonhy
89.93 56.3237 gbif PO pt_nonhy
94.6093 55.7551 gbif PO pt_nonhy
106.268051 55.41256 gbif PO pt_nonhy
74.627 59.7931 gbif PO pt_nonhy
134.2048 58.0155 gbif PO pt_nonhy
117.411944 61.989167 gbif PO pt_nonhy
130.351 52.797 gbif PO pt_nonhy
111.50219 65.942105 gbif PO pt_nonhy
122.875664 54.04447 gbif PO pt_nonhy
129 62.7 gbif PO pt_nonhy
89.870372 54.281655 gbif PO pt_nonhy
82.523192 53.938574 gbif PO pt_nonhy
82.204565 65.158102 gbif PO pt_nonhy
87.4645 51.5104 gbif PO pt_nonhy
120.379729 63.446176 gbif PO pt_nonhy
100.0926 71.14557 gbif PO pt_nonhy
78.8529 67.1817 gbif PO pt_nonhy
135.038635 48.277279 gbif PO pt_nonhy
118.182355 56.873928 gbif PO pt_nonhy
122.2274 58.7062 gbif PO pt_nonhy
133.8146 63.8202 gbif PO pt_nonhy
118.6511 62.0289 gbif PO pt_nonhy
129.2605 58.528 gbif PO pt_nonhy
102.295758 56.110665 gbif PO pt_nonhy
80.7865 61.1875 gbif PO pt_nonhy
129.6107 62.0207 gbif PO pt_nonhy
125.498333 58.115556 gbif PO pt_nonhy
86.062087 55.344328 gbif PO pt_nonhy
113.132539 50.941123 gbif PO pt_nonhy
59.0017 61.2717 gbif PO pt_nonhy
96.048119 60.482439 gbif PO pt_nonhy
61.63694 62.890287 gbif PO pt_nonhy
137.353229 50.839399 gbif PO pt_nonhy
80.833667 59.040098 gbif PO pt_nonhy
68.4514 58.2986 gbif PO pt_nonhy
105.850347 55.136791 gbif PO pt_nonhy
87.519791 50.434535 gbif PO pt_nonhy
128.3705 62.1061 gbif PO pt_nonhy
114.855281 60.699836 gbif PO pt_nonhy
59.503856 59.252284 gbif PO pt_nonhy
99.919249 54.647008 gbif PO pt_nonhy
66.693772 66.592123 gbif PO pt_nonhy
110.029104 55.939492 gbif PO pt_nonhy
64.439121 65.686577 gbif PO pt_nonhy
88.295835 69.350827 gbif PO pt_nonhy
62.5572 66.668 gbif PO pt_nonhy
91.93071 67.20119 gbif PO pt_nonhy
128.383333 56.65 gbif PO pt_nonhy
134.8863 57.1035 gbif PO pt_nonhy
119.4595 62.2808 gbif PO pt_nonhy
92.10903 51.149028 gbif PO pt_nonhy
84.1676 61.4968 gbif PO pt_nonhy
88.527459 66.962217 gbif PO pt_nonhy
84.9278 63.5737 gbif PO pt_nonhy
