Long	Lat	Source	Species	stat	Bio1	Bio2	Bio3	Bio4	Bio5	Bio6	Bio7	Bio8	Bio9	Bio10	Bio11	Bio12	Bio13	Bio14	Bio15	Bio16	Bio17	Bio18	Bio19
43.14	64.45	R20	PO	pt_hy	4	86	22	9606	204	-177	381	129	-110	129	-120	557	71	25	30	194	86	194	95
46.54	61.15	R22	PO	pt_hy	13	92	21	10789	229	-191	420	151	-113	151	-131	551	73	23	33	199	79	199	96
37.57	59.7	R24	PA	pt_hy	23	87	22	10059	222	-161	383	151	-97	151	-109	591	81	23	37	222	76	222	92
42.2	58.24	R27	PA	pt_hy	31	80	20	10444	228	-157	385	163	-91	163	-106	632	81	29	29	215	99	215	118
36.58	56.1	R29	PA	pt_nonhy	43	79	22	9756	228	-128	356	166	-73	166	-83	649	88	29	33	242	96	242	113
53.1	56.5	R35	PO	pt_hy	28	90	21	11634	248	-179	427	174	-47	174	-124	550	69	26	29	188	87	188	107
57.06	60.39	R38	PO	pt_hy	6	91	20	11713	234	-205	439	156	-65	156	-148	692	88	30	30	232	103	232	135
30.52	59.3	R5	PA	pt_nonhy	43	74	22	9069	220	-112	332	144	-67	161	-72	634	80	28	32	228	98	222	111
25.38	58.24	R8	PA	pt_nonhy	52	67	21	8360	211	-94	305	61	-17	159	-54	631	73	28	30	212	97	181	128
25.57	47.58	RO_1	PA	pt_nonhy	52	91	30	7498	202	-97	299	130	-38	145	-47	749	118	35	48	324	108	314	110
23.04556	46.3625	RO_2	PA	pt_nonhy	87	97	32	7371	242	-59	301	162	1	177	-13	664	101	34	39	266	105	255	115
18.29	64.75	SEPA15	PA	pt_nonhy	4	94	25	9547	195	-181	376	129	-62	129	-119	570	83	29	33	212	93	212	112
58.42	57.14	SHA	PO	pt_nonhy	10	98	22	11857	235	-203	438	157	-128	157	-147	621	93	24	39	239	86	239	101
19.14917	48.7325	SK	PA	pt_nonhy	82	106	32	7611	248	-76	324	174	-5	174	-22	725	94	42	25	244	128	244	140
12.923	61.6	SWE_1	PA	pt_nonhy	19	77	25	7956	181	-123	304	122	-73	122	-83	642	91	28	38	247	93	247	107
12.923	62.063	SWE_2	PA	pt_nonhy	5	76	25	7921	167	-137	304	108	-55	108	-97	671	96	30	37	257	100	257	117
68.375	58.174	TOB	PO	pt_nonhy	-4	93	19	12988	229	-239	468	158	-153	158	-176	486	74	16	47	206	55	206	65
64.37	57.03	TUG	PO	pt_nonhy	13	89	20	12510	239	-206	445	168	-131	168	-153	461	82	15	51	203	54	203	63
87.976	65.79	TYR	PO	pt_nonhy	-61	98	18	14900	222	-313	535	46	-160	136	-247	540	67	23	33	197	83	175	98
49.4	58.36	VYA	PO	pt_hy	26	71	17	11135	228	-168	396	145	-43	167	-119	635	88	27	34	225	91	221	112
90.222	60.244	YAR	PO	pt_nonhy	-23	110	20	14502	251	-278	529	162	-111	162	-214	539	69	21	34	188	72	188	92
